DN,TH,COR,geometry,X,Y
69,20.823999404907227,0,POINT Z (760033.726765669 3980657.158032308 2701.434814453125),760033.726765669,3980657.158032308
70,20.823999404907227,0,POINT Z (759875.226765669 3980656.658032308 2670.59912109375),759875.226765669,3980656.658032308
71,25.241580963134766,0,POINT Z (759985.726765669 3980656.158032308 2681.5478515625),759985.726765669,3980656.158032308
72,18.04439926147461,0,POINT Z (760023.726765669 3980655.158032308 2698.557861328125),760023.726765669,3980655.158032308
73,24.875600814819336,0,POINT Z (759900.226765669 3980654.158032308 2662.751953125),759900.226765669,3980654.158032308
74,24.002880096435547,0,POINT Z (759955.726765669 3980654.658032308 2669.33056640625),759955.726765669,3980654.658032308
75,27.104299545288086,0,POINT Z (759976.226765669 3980654.658032308 2675.548095703125),759976.226765669,3980654.658032308
76,24.622800827026367,0,POINT Z (759946.726765669 3980653.658032308 2666.375244140625),759946.726765669,3980653.658032308
77,22.28030014038086,0,POINT Z (759872.226765669 3980650.158032308 2673.9287109375),759872.226765669,3980650.158032308
78,25.682199478149414,0,POINT Z (759907.726765669 3980650.158032308 2660.2099609375),759907.726765669,3980650.158032308
79,26.281328201293945,0,POINT Z (759933.226765669 3980650.658032308 2662.923583984375),759933.226765669,3980650.658032308
80,21.958900451660156,0,POINT Z (759922.226765669 3980649.658032308 2660.175537109375),759922.226765669,3980649.658032308
81,24.373199462890625,0,POINT Z (759962.726765669 3980649.658032308 2671.681640625),759962.726765669,3980649.658032308
82,24.4913387298584,0,POINT Z (759949.226765669 3980647.658032308 2667.81494140625),759949.226765669,3980647.658032308
83,22.881500244140625,0,POINT Z (759889.726765669 3980646.658032308 2670.389892578125),759889.726765669,3980646.658032308
84,24.960100173950195,0,POINT Z (759913.226765669 3980645.658032308 2662.054443359375),759913.226765669,3980645.658032308
85,22.187400817871094,0,POINT Z (759987.226765669 3980644.158032308 2684.96044921875),759987.226765669,3980644.158032308
86,15.563799858093262,0,POINT Z (760066.226765669 3980642.158032308 2711.37744140625),760066.226765669,3980642.158032308
87,24.825599670410156,0,POINT Z (759939.226765669 3980641.658032308 2666.08642578125),759939.226765669,3980641.658032308
88,24.656200408935547,0,POINT Z (759947.226765669 3980640.158032308 2668.7783203125),759947.226765669,3980640.158032308
89,23.949600219726562,0,POINT Z (759959.726765669 3980640.658032308 2672.179931640625),759959.726765669,3980640.658032308
90,20.927499771118164,0,POINT Z (759880.226765669 3980639.158032308 2678.396240234375),759880.226765669,3980639.158032308
91,27.150100708007812,0,POINT Z (759902.726765669 3980639.158032308 2670.374267578125),759902.726765669,3980639.158032308
92,26.176300048828125,0,POINT Z (759922.726765669 3980639.158032308 2665.229248046875),759922.726765669,3980639.158032308
93,23.023000717163086,0,POINT Z (759974.726765669 3980639.158032308 2675.43505859375),759974.726765669,3980639.158032308
94,22.708599090576172,0,POINT Z (759982.726765669 3980639.658032308 2681.55908203125),759982.726765669,3980639.658032308
95,21.162145614624023,0,POINT Z (760054.726765669 3980638.158032308 2707.935302734375),760054.726765669,3980638.158032308
96,25.394500732421875,0,POINT Z (759929.226765669 3980635.158032308 2666.3662109375),759929.226765669,3980635.158032308
97,20.736900329589844,0,POINT Z (760039.226765669 3980635.158032308 2702.459716796875),760039.226765669,3980635.158032308
98,21.674400329589844,0,POINT Z (760019.726765669 3980634.658032308 2696.39697265625),760019.726765669,3980634.658032308
99,25.504600524902344,0,POINT Z (759913.726765669 3980633.158032308 2671.46826171875),759913.726765669,3980633.158032308
100,26.040800094604492,0,POINT Z (759900.726765669 3980632.658032308 2674.47509765625),759900.726765669,3980632.658032308
101,22.80900001525879,0,POINT Z (759968.726765669 3980632.158032308 2675.7470703125),759968.726765669,3980632.158032308
102,21.28438949584961,2,POINT Z (759973.2553370976 3980629.943746594 2676.3759765625),759973.2553370976,3980629.943746594
103,25.648500442504883,0,POINT Z (759942.726765669 3980630.658032308 2670.745849609375),759942.726765669,3980630.658032308
104,25.503599166870117,0,POINT Z (759948.8934297925 3980629.991360555 2672.0771484375),759948.8934297925,3980629.991360555
105,18.03179931640625,0,POINT Z (760067.226765669 3980630.658032308 2713.224365234375),760067.226765669,3980630.658032308
106,24.915599822998047,0,POINT Z (759907.726765669 3980629.658032308 2674.646240234375),759907.726765669,3980629.658032308
107,22.185199737548828,0,POINT Z (759963.5601015454 3980626.991360555 2675.55615234375),759963.5601015454,3980626.991360555
108,20.417699813842773,0,POINT Z (759993.226765669 3980627.158032308 2685.77197265625),759993.226765669,3980627.158032308
109,22.274700164794922,0,POINT Z (760012.726765669 3980627.658032308 2693.936767578125),760012.726765669,3980627.658032308
110,23.323999404907227,0,POINT Z (759984.226765669 3980626.658032308 2680.47998046875),759984.226765669,3980626.658032308
111,22.290599822998047,0,POINT Z (760001.726765669 3980626.158032308 2688.0009765625),760001.726765669,3980626.158032308
112,24.072900772094727,0,POINT Z (759954.226765669 3980624.658032308 2674.33935546875),759954.226765669,3980624.658032308
113,26.02079963684082,0,POINT Z (759930.226765669 3980623.658032308 2671.68212890625),759930.226765669,3980623.658032308
114,23.81369972229004,2,POINT Z (759928.3348737771 3980616.624248524 2675.052978515625),759928.3348737771,3980616.624248524
115,24.38520050048828,0,POINT Z (759948.726765669 3980619.658032308 2675.2451171875),759948.726765669,3980619.658032308
116,22.919300079345703,0,POINT Z (759984.726765669 3980618.658032308 2679.9892578125),759984.726765669,3980618.658032308
117,23.33009910583496,0,POINT Z (759993.726765669 3980618.158032308 2684.591552734375),759993.726765669,3980618.158032308
118,24.882699966430664,0,POINT Z (759942.226765669 3980616.658032308 2675.60498046875),759942.226765669,3980616.658032308
119,23.987199783325195,0,POINT Z (760004.226765669 3980616.658032308 2689.357177734375),760004.226765669,3980616.658032308
120,22.61590003967285,0,POINT Z (759902.226765669 3980615.158032308 2683.697998046875),759902.226765669,3980615.158032308
121,24.370100021362305,0,POINT Z (759972.226765669 3980614.658032308 2678.79296875),759972.226765669,3980614.658032308
122,17.764999389648438,0,POINT Z (760064.726765669 3980613.658032308 2711.669189453125),760064.726765669,3980613.658032308
123,23.73780059814453,0,POINT Z (759983.726765669 3980610.658032308 2681.385498046875),759983.726765669,3980610.658032308
124,23.74020004272461,0,POINT Z (759995.726765669 3980608.658032308 2684.2578125),759995.726765669,3980608.658032308
125,18.69029998779297,0,POINT Z (760062.726765669 3980604.658032308 2710.484130859375),760062.726765669,3980604.658032308
126,24.113800048828125,0,POINT Z (759918.226765669 3980603.658032308 2685.35888671875),759918.226765669,3980603.658032308
127,21.989999771118164,0,POINT Z (759953.726765669 3980601.658032308 2678.557861328125),759953.726765669,3980601.658032308
128,25.54484748840332,0,POINT Z (759998.226765669 3980601.658032308 2684.97265625),759998.226765669,3980601.658032308
129,27.635000228881836,0,POINT Z (760006.226765669 3980597.158032308 2686.83935546875),760006.226765669,3980597.158032308
130,23.638999938964844,0,POINT Z (759981.726765669 3980596.658032308 2683.19677734375),759981.726765669,3980596.658032308
131,26.234899520874023,0,POINT Z (759935.226765669 3980595.658032308 2684.03173828125),759935.226765669,3980595.658032308
132,23.1427001953125,0,POINT Z (759963.226765669 3980595.658032308 2680.778564453125),759963.226765669,3980595.658032308
133,26.434213638305664,0,POINT Z (760022.226765669 3980595.658032308 2691.50537109375),760022.226765669,3980595.658032308
134,25.65130043029785,0,POINT Z (759993.226765669 3980593.158032308 2685.224853515625),759993.226765669,3980593.158032308
135,27.29829978942871,0,POINT Z (760012.8934374219 3980592.991360555 2688.364013671875),760012.8934374219,3980592.991360555
136,24.667400360107422,0,POINT Z (759943.226765669 3980592.158032308 2682.973388671875),759943.226765669,3980592.158032308
137,25.492399215698242,0,POINT Z (759954.726765669 3980591.658032308 2681.2216796875),759954.726765669,3980591.658032308
138,25.958200454711914,0,POINT Z (760031.226765669 3980591.658032308 2694.489501953125),760031.226765669,3980591.658032308
139,22.82524299621582,0,POINT Z (760047.726765669 3980588.658032308 2700.0595703125),760047.726765669,3980588.658032308
140,25.31170082092285,0,POINT Z (759950.226765669 3980586.658032308 2684.536376953125),759950.226765669,3980586.658032308
141,24.09429931640625,0,POINT Z (759961.226765669 3980584.658032308 2684.873779296875),759961.226765669,3980584.658032308
142,21.27899932861328,0,POINT Z (759976.226765669 3980584.658032308 2684.455078125),759976.226765669,3980584.658032308
143,26.402000427246094,0,POINT Z (759994.726765669 3980584.658032308 2686.224609375),759994.726765669,3980584.658032308
144,24.09429931640625,0,POINT Z (759961.726765669 3980582.658032308 2685.126953125),759961.726765669,3980582.658032308
145,27.042600631713867,0,POINT Z (760032.726765669 3980579.658032308 2694.57861328125),760032.726765669,3980579.658032308
146,21.232702255249023,0,POINT Z (760061.226765669 3980578.158032308 2702.299072265625),760061.226765669,3980578.158032308
147,24.985599517822266,0,POINT Z (759997.726765669 3980577.658032308 2687.2646484375),759997.726765669,3980577.658032308
148,25.683000564575195,0,POINT Z (759983.726765669 3980576.658032308 2685.83447265625),759983.726765669,3980576.658032308
149,25.249820709228516,0,POINT Z (760008.726765669 3980576.158032308 2690.37939453125),760008.726765669,3980576.158032308
150,26.897506713867188,0,POINT Z (760047.726765669 3980574.658032308 2696.98876953125),760047.726765669,3980574.658032308
151,27.076414108276367,0,POINT Z (760040.726765669 3980573.158032308 2698.9755859375),760040.726765669,3980573.158032308
152,23.684537887573242,0,POINT Z (760023.226765669 3980572.658032308 2695.514404296875),760023.226765669,3980572.658032308
153,25.627399444580078,0,POINT Z (759972.726765669 3980570.158032308 2689.158935546875),759972.726765669,3980570.158032308
154,27.20009994506836,0,POINT Z (760002.226765669 3980569.658032308 2688.87255859375),760002.226765669,3980569.658032308
155,25.34585189819336,0,POINT Z (760013.226765669 3980566.658032308 2693.96142578125),760013.226765669,3980566.658032308
156,18.523866653442383,0,POINT Z (760058.226765669 3980565.658032308 2700.81787109375),760058.226765669,3980565.658032308
157,28.348100662231445,0,POINT Z (759993.226765669 3980563.658032308 2689.994140625),759993.226765669,3980563.658032308
158,24.44890022277832,0,POINT Z (759980.226765669 3980562.658032308 2691.410888671875),759980.226765669,3980562.658032308
159,25.283100128173828,0,POINT Z (760011.226765669 3980561.158032308 2694.742431640625),760011.226765669,3980561.158032308
160,26.243881225585938,0,POINT Z (760003.226765669 3980559.658032308 2693.805908203125),760003.226765669,3980559.658032308
161,22.55471420288086,0,POINT Z (760045.226765669 3980559.658032308 2703.24365234375),760045.226765669,3980559.658032308
162,23.912700653076172,0,POINT Z (760030.226765669 3980556.658032308 2700.1123046875),760030.226765669,3980556.658032308
163,26.00079917907715,0,POINT Z (760021.226765669 3980554.158032308 2699.123779296875),760021.226765669,3980554.158032308
